001t0000007q8bzAAA,47.7881528,-122.3087405
001t0000007qBR0AAM,47.8419525,-122.2881807
001t0000007qFBDAA2,48.0563616,-122.1492224
001t0000007qG6rAAE,48.0988549,-122.2605267
001t0000007qHGKAA2,47.8313268,-122.0938937
001t0000007qI4NAAU,47.8962246,-122.1853637
001t0000007qIUMAA2,47.7972338,-122.2029132
001t0000007qIzWAAU,47.85839,-122.2709005
001t0000007qJ7WAAU,48.015098,-122.0637425
001t0000007qJTBAA2,47.8140773,-122.2718563
001t0000007qCbVAAU,47.8959293,-122.2381575
001t0000007qEWyAAM,48.158239,-122.224187
001t0000007qFTTAA2,47.9990269,-122.1914014
001t0000007qH3eAAE,48.2451429,-122.330981
001t0000007qHUcAAM,47.9417388,-122.2334664
001t0000007qIlmAAE,47.8040624,-122.3735496
001t0000007qIvMAAU,47.7786176,-122.3358227
001t0000007qIwzAAE,47.8419525,-122.2881807
001t0000007qJD5AAM,47.7816603,-122.3435394
001t0000007qJRrAAM,48.0845265,-121.9634343
001t0000007q8iOAAQ,47.8057098,-122.3462311
001t0000007qBTRAA2,47.8040624,-122.3735496
001t0000007qFAQAA2,47.8211959,-122.338778
001t0000007qG8BAAU,47.8872746,-122.3001221
001t0000007qGsjAAE,47.8140773,-122.2718563
001t0000007qI1qAAE,47.7972338,-122.2029132
001t0000007qI3dAAE,48.015098,-122.0637425
001t0000007qIWeAAM,47.794795,-122.3723426
001t0000007qIkoAAE,47.7972338,-122.2029132
001t00000099tn9AAA,48.0619372,-122.1713313
001t0000007q8LrAAI,47.9128756,-122.0981848
001t0000007qBTgAAM,47.9445396,-122.3045815
001t0000007qBvzAAE,48.2410895,-122.3706837
001t0000007qC7KAAU,48.1987118,-122.1251418
001t0000007qGrHAAU,47.8567695,-121.6970606
001t0000007qHSzAAM,47.9081021,-122.2956274
001t0000007qHZiAAM,47.8158318,-122.3695503
001t0000007qHn3AAE,47.85839,-122.2709005
001t0000007qIV7AAM,47.8837854,-122.2813582
001t0000007qJLIAA2,47.8962246,-122.1853637
001t0000007qBrvAAE,47.8369467,-122.3390639
001t0000007qDrGAAU,47.8369467,-122.3390639
